mode,repeat,train,validation,test,test_drug_in_train,test_target_in_train
random,0,23512,3359,6718,6437,6654
e2,0,26730,2286,4573,0,4553
e3,0,26571,2339,4679,4568,0
e4,0,1892,2239,4479,0,0
random,1,23512,3359,6718,6424,6680
e2,1,27204,2128,4257,0,4237
e3,1,26286,2434,4869,4715,0
e4,1,1885,2239,4479,0,0
random,2,23512,3359,6718,6414,6652
e2,2,26860,2243,4486,0,4463
e3,2,26627,2321,4641,4521,0
e4,2,1911,2239,4479,0,0
random,3,23512,3359,6718,6428,6636
e2,3,27095,2165,4329,0,4303
e3,3,26715,2291,4583,4443,0
e4,3,2028,2239,4479,0,0
random,4,23512,3359,6718,6403,6654
e2,4,26727,2287,4575,0,4550
e3,4,27266,2108,4215,4131,0
e4,4,1960,2239,4479,0,0
random,5,23512,3359,6718,6434,6635
e2,5,26608,2327,4654,0,4627
e3,5,26724,2288,4577,4425,0
e4,5,1996,2239,4479,0,0
random,6,23512,3359,6718,6415,6635
e2,6,26895,2231,4463,0,4443
e3,6,27147,2147,4295,4173,0
e4,6,1940,2239,4479,0,0
random,7,23512,3359,6718,6397,6659
e2,7,26982,2202,4405,0,4390
e3,7,26717,2291,4581,4450,0
e4,7,2008,2239,4479,0,0
random,8,23512,3359,6718,6432,6659
e2,8,26994,2198,4397,0,4367
e3,8,26574,2338,4677,4543,0
e4,8,1871,2239,4479,0,0
random,9,23512,3359,6718,6440,6649
e2,9,26759,2277,4553,0,4522
e3,9,26709,2293,4587,4440,0
e4,9,1903,2239,4479,0,0
